Time,x_d,y_d,theta_d,v_r_d,v_l_d
13.060884,0.197527,-0.798329,-2.324176,0.131565,0.149682
13.110926,0.192703,-0.803464,-2.325861,0.132203,0.14979
13.160967,0.187857,-0.808605,-2.327497,0.13283,0.149891
13.211009,0.18299,-0.813751,-2.329083,0.133444,0.149986
13.261051,0.178103,-0.818902,-2.330621,0.134048,0.150075
13.311093,0.173197,-0.824059,-2.33211,0.13464,0.150156
13.361134,0.168271,-0.82922,-2.333551,0.13522,0.150231
13.411176,0.163328,-0.834385,-2.334945,0.135789,0.150298
13.461218,0.158366,-0.839556,-2.336291,0.136347,0.150358
13.511259,0.153387,-0.84473,-2.33759,0.136894,0.150411
13.561301,0.148391,-0.849909,-2.338844,0.137429,0.150457
13.611343,0.143378,-0.855092,-2.340051,0.137952,0.150495
13.661384,0.13835,-0.860279,-2.341212,0.138465,0.150525
13.711426,0.133307,-0.86547,-2.342328,0.138966,0.150547
13.761468,0.128249,-0.870665,-2.343399,0.139456,0.150562
13.81151,0.123177,-0.875863,-2.344426,0.139935,0.150568
13.861551,0.118092,-0.881064,-2.345407,0.140402,0.150566
13.911593,0.112993,-0.886269,-2.346345,0.140859,0.150556
13.961635,0.107882,-0.891477,-2.347239,0.141304,0.150537
14.011676,0.10276,-0.896688,-2.348089,0.141738,0.15051
14.061718,0.097625,-0.901901,-2.348895,0.142161,0.150474
14.11176,0.092481,-0.907118,-2.349658,0.142573,0.15043
14.161802,0.087326,-0.912337,-2.350379,0.142974,0.150376
14.211843,0.082161,-0.917558,-2.351056,0.143364,0.150314
14.261885,0.076988,-0.922782,-2.351691,0.143744,0.150243
14.311927,0.071806,-0.928007,-2.352284,0.144112,0.150163
14.361968,0.066616,-0.933235,-2.352834,0.14447,0.150074
14.41201,0.061419,-0.938465,-2.353342,0.144816,0.149975
14.462052,0.056215,-0.943696,-2.353808,0.145152,0.149867
14.512093,0.051005,-0.948929,-2.354232,0.145477,0.14975
14.562135,0.045789,-0.954163,-2.354615,0.145792,0.149623
14.612177,0.040568,-0.959398,-2.354956,0.146096,0.149486
14.662219,0.035343,-0.964635,-2.355255,0.146389,0.14934
14.71226,0.030114,-0.969873,-2.355513,0.146672,0.149184
14.762302,0.024881,-0.975111,-2.35573,0.146944,0.149019
14.812344,0.019646,-0.98035,-2.355905,0.147206,0.148843
14.862385,0.014409,-0.98559,-2.356039,0.147458,0.148658
14.912427,0.00917,-0.99083,-2.356131,0.147699,0.148462
14.962469,0.00393,-0.99607,-2.356183,0.14793,0.148257
15.01251,-0.00131,-1.00131,-2.356193,0.14815,0.148041
15.062552,-0.00655,-1.00655,-2.356162,0.148361,0.147815
15.112594,-0.01179,-1.011791,-2.35609,0.148561,0.147579
15.162636,-0.017028,-1.01703,-2.355977,0.148752,0.147333
15.212677,-0.022264,-1.02227,-2.355822,0.148932,0.147076
15.262719,-0.027498,-1.027508,-2.355626,0.149103,0.146809
15.312761,-0.032729,-1.032746,-2.355389,0.149263,0.146532
15.362802,-0.037956,-1.037983,-2.355111,0.149414,0.146244
15.412844,-0.043179,-1.043219,-2.35479,0.149556,0.145945
15.462886,-0.048397,-1.048454,-2.354429,0.149687,0.145636
15.512927,-0.05361,-1.053688,-2.354025,0.149809,0.145316
15.562969,-0.058817,-1.05892,-2.35358,0.149922,0.144986
15.613011,-0.064018,-1.06415,-2.353093,0.150025,0.144644
15.663053,-0.069212,-1.069379,-2.352564,0.150119,0.144292
15.713094,-0.074398,-1.074606,-2.351993,0.150204,0.143929
15.763136,-0.079576,-1.07983,-2.351379,0.15028,0.143555
15.813178,-0.084745,-1.085053,-2.350723,0.150347,0.143171
15.863219,-0.089904,-1.090273,-2.350024,0.150404,0.142775
15.913261,-0.095054,-1.095491,-2.349282,0.150453,0.142369
15.963303,-0.100194,-1.100706,-2.348497,0.150493,0.141951
16.013344,-0.105322,-1.105918,-2.347669,0.150525,0.141522
16.063386,-0.110439,-1.111128,-2.346797,0.150547,0.141083
16.113428,-0.115544,-1.116334,-2.345882,0.150562,0.140632
16.16347,-0.120636,-1.121537,-2.344922,0.150568,0.14017
16.213511,-0.125715,-1.126737,-2.343918,0.150566,0.139697
16.263553,-0.13078,-1.131933,-2.342869,0.150555,0.139212
16.313595,-0.135831,-1.137126,-2.341776,0.150537,0.138717
16.363636,-0.140866,-1.142315,-2.340637,0.150511,0.13821
16.413678,-0.145887,-1.1475,-2.339453,0.150477,0.137692
16.46372,-0.150891,-1.152681,-2.338223,0.150435,0.137163
16.513761,-0.155878,-1.157858,-2.336947,0.150386,0.136622
16.563803,-0.160849,-1.16303,-2.335624,0.150329,0.13607
16.613845,-0.165802,-1.168198,-2.334254,0.150265,0.135506
16.663887,-0.170736,-1.173361,-2.332836,0.150194,0.134931
16.713928,-0.175652,-1.17852,-2.331371,0.150116,0.134345
16.76397,-0.180549,-1.183674,-2.329858,0.150031,0.133748
16.814012,-0.185426,-1.188822,-2.328296,0.149939,0.133138
16.864053,-0.190282,-1.193966,-2.326685,0.149841,0.132518
16.914095,-0.195118,-1.199104,-2.325025,0.149736,0.131886
16.964137,-0.199932,-1.204237,-2.323314,0.149625,0.131242
17.014178,-0.204724,-1.209364,-2.321553,0.149508,0.130587
17.06422,-0.209493,-1.214485,-2.319741,0.149385,0.12992
17.114262,-0.21424,-1.219601,-2.317877,0.149256,0.129242
17.164304,-0.218963,-1.22471,-2.315961,0.149121,0.128552
17.214345,-0.223662,-1.229813,-2.313993,0.148981,0.12785
17.264387,-0.228337,-1.23491,-2.311971,0.148836,0.127137
17.314429,-0.232986,-1.240001,-2.309895,0.148685,0.126412
17.36447,-0.23761,-1.245084,-2.307765,0.14853,0.125676
